Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"San Lorenzo Dr, Sebring, FL 33872",N/A,N/A,N/A,Single-Family,4,N/A,1877,N/A,https://www.foreclosure.com/address/San-Lorenzo-Dr-Sebring-FL-33872/60724150_lid
"Alta St, Jacksonville, FL 32208","$124,544",Estimated Market Value,$970/m,Single-Family,3,1,1036, 120%,https://www.foreclosure.com/address/Alta-St-Jacksonville-FL-32208/60724240_lid
"Lake Crescent Pl, Miami Lakes, FL 33014","$666,204",Estimated Market Value,$2270/m,Single-Family,3,2,1572, 103%,https://www.foreclosure.com/address/Lake-Crescent-Pl-Miami-Lakes-FL-33014/60724268_lid
"Nw 79th Ave Apt 2c, Doral, FL 33166","$243,823",Estimated Market Value,$1320/m,Condo,1,1,N/A, 117%,https://www.foreclosure.com/address/Nw-79th-Ave-Apt-2c-Doral-FL-33166/60721086_lid
"Pelican Bay B 904, Naples, FL 34108",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Pelican-Bay-B-904-Naples-FL-34108/60722065_lid
"White Chicory Dr, Apollo Beach, FL 33572",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/White-Chicory-Dr-Apollo-Beach-FL-33572/60721611_lid
"City View Dr, Fort Lauderdale, FL 33311","$394,304",Estimated Market Value,$1500/m,Townhome,2,1,888, 119%,https://www.foreclosure.com/address/City-View-Dr-Fort-Lauderdale-FL-33311/60724224_lid
"2nd Ct Se, Vero Beach, FL 32962","$231,552",Estimated Market Value,$952/m,Single-Family,2,1,860, 130%,https://www.foreclosure.com/address/2nd-Ct-Se-Vero-Beach-FL-32962/60721495_lid
"Stone Rd, Glen Saint Mary, FL 32040","$193,800",Estimated Market Value,$1100/m,Single-Family,N/A,2,1104, 100%,https://www.foreclosure.com/address/Stone-Rd-Glen-Saint-Mary-FL-32040/60721419_lid
"Palm Ave, West Palm Bch, FL 33406",N/A,N/A,N/A,Single-Family,N/A,1,572,N/A,https://www.foreclosure.com/address/Palm-Ave-West-Palm-Bch-FL-33406/60721927_lid
"Old Ml Cv Trl W, Jacksonville, FL 32277",N/A,N/A,N/A,Single-Family,3,2,2191,N/A,https://www.foreclosure.com/address/Old-Ml-Cv-Trl-W-Jacksonville-FL-32277/60721829_lid
"Royal Pines 23-f, Clearwater, FL 33763",N/A,N/A,N/A,Condo,N/A,N/A,1030,N/A,https://www.foreclosure.com/address/Royal-Pines-23-f-Clearwater-FL-33763/60721943_lid
"Waterside Pointe Cir, Orlando, FL 32829","$434,609",Estimated Market Value,$2030/m,Single-Family,4,2,1465, 95%,https://www.foreclosure.com/address/Waterside-Pointe-Cir-Orlando-FL-32829/60719824_lid
"E Michigan St Apt 5436-4, Orlando, FL 32812",N/A,N/A,N/A,Condo,2,2,N/A,N/A,https://www.foreclosure.com/address/E-Michigan-St-Apt-5436-4-Orlando-FL-32812/60719825_lid
"Tiramasu Trl, Orlando, FL 32829","$366,299",Estimated Market Value,$1780/m,Single-Family,3,2.5,1698, 120%,https://www.foreclosure.com/address/Tiramasu-Trl-Orlando-FL-32829/60719826_lid
"Espanol Dr, Punta Gorda, FL 33955","$244,054",Estimated Market Value,$1398/m,Single-Family,N/A,2,1549, 111%,https://www.foreclosure.com/address/Espanol-Dr-Punta-Gorda-FL-33955/60719837_lid
"White Barn Way, Riverview, FL 33569","$403,520",Estimated Market Value,$1960/m,Single-Family,4,2,1918, 95%,https://www.foreclosure.com/address/White-Barn-Way-Riverview-FL-33569/60722543_lid
"Sw Sunshine St, Stuart, FL 34997","$94,265",Estimated Market Value,N/A,N/A,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Sw-Sunshine-St-Stuart-FL-34997/60722772_lid
"25th St S, St Petersburg, FL 33712",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/25th-St-S-St-Petersburg-FL-33712/60722882_lid
"Park Blvd, Seminole, FL 33776","$1,438,272",Estimated Market Value,$4560/m,Single-Family,N/A,6.5,5287, 116%,https://www.foreclosure.com/address/Park-Blvd-Seminole-FL-33776/60722883_lid
"40th Ave N, St Petersburg, FL 33703",N/A,N/A,N/A,Single-Family,N/A,1,984,N/A,https://www.foreclosure.com/address/40th-Ave-N-St-Petersburg-FL-33703/60722884_lid
"E Highway 388, Youngstown, FL 32466","$110,531",Estimated Market Value,N/A,Single-Family,3,2,868, 179%,https://www.foreclosure.com/address/E-Highway-388-Youngstown-FL-32466/60724497_lid
"Ne Hwy 315, Mccoy, FL 32134",N/A,N/A,N/A,Multi-Family,5,3,552,N/A,https://www.foreclosure.com/address/Ne-Hwy-315-Mccoy-FL-32134/60724498_lid
"Baylor Ave, Keystone Heights, FL 32656","$275,423",Estimated Market Value,$1090/m,Single-Family,3,2,1298, 137%,https://www.foreclosure.com/address/Baylor-Ave-Keystone-Heights-FL-32656/60724501_lid
"Lake Forest Ln, Fleming Island, FL 32003",N/A,N/A,N/A,Single-Family,3,2,1476,N/A,https://www.foreclosure.com/address/Lake-Forest-Ln-Fleming-Island-FL-32003/60724502_lid
"26th St W, Bradenton, FL 34207","$351,721",Estimated Market Value,$1440/m,Single-Family,2,1,1097, 100%,https://www.foreclosure.com/address/26th-St-W-Bradenton-FL-34207/60724504_lid
"20th St E, Palmetto, FL 34221","$364,756",Estimated Market Value,$1490/m,Single-Family,3,2,1430, 110%,https://www.foreclosure.com/address/20th-St-E-Palmetto-FL-34221/60724506_lid
"Willows Bridge Loop, Ellenton, FL 34222","$548,603",Estimated Market Value,$1980/m,Single-Family,4,3.5,2909, 91%,https://www.foreclosure.com/address/Willows-Bridge-Loop-Ellenton-FL-34222/60724505_lid
"Smith Creek Rd, Sopchoppy, FL 32358","$307,229",Estimated Market Value,$1550/m,Single-Family,4,3,2040, 103%,https://www.foreclosure.com/address/Smith-Creek-Rd-Sopchoppy-FL-32358/60722797_lid
"Nw 32nd Ter, Lauderdale Lakes, FL 33311","$431,552",Estimated Market Value,$1570/m,Single-Family,3,2,2371, 110%,https://www.foreclosure.com/address/Nw-32nd-Ter-Lauderdale-Lakes-FL-33311/60722798_lid
"Gator Hole Rd, Odessa, FL 33556","$633,215",Estimated Market Value,$2160/m,Single-Family,2,1,1864, 106%,https://www.foreclosure.com/address/Gator-Hole-Rd-Odessa-FL-33556/60721600_lid
"Young St Apt A, Tallahassee, FL 32301","$191,505",Estimated Market Value,$1440/m,N/A,N/A,N/A,N/A, 94%,https://www.foreclosure.com/address/Young-St-Apt-A-Tallahassee-FL-32301/60718043_lid
"Rose Rd, Tallahassee, FL 32311",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Rose-Rd-Tallahassee-FL-32311/60718044_lid
"Southern Oaks Ct, Ft Walton Beach, FL 32547",N/A,N/A,N/A,Single-Family,3,2,1313,N/A,https://www.foreclosure.com/address/Southern-Oaks-Ct-Ft-Walton-Beach-FL-32547/60718055_lid
"Splendid Ravine St, Saint Augustine, FL 32092",N/A,N/A,N/A,Single-Family,3,2,2010,N/A,https://www.foreclosure.com/address/Splendid-Ravine-St-Saint-Augustine-FL-32092/60718845_lid
"Florence Blvd, Debary, FL 32713","$96,050",Estimated Market Value,N/A,Single-Family,2,3,840, 101%,https://www.foreclosure.com/address/Florence-Blvd-Debary-FL-32713/60718904_lid
"Garden Ln, Longwood, FL 32750","$488,530",Estimated Market Value,$1720/m,Single-Family,N/A,2.5,1847, 104%,https://www.foreclosure.com/address/Garden-Ln-Longwood-FL-32750/60714475_lid
"Alton Rd, Winter Springs, FL 32708","$385,727",Estimated Market Value,$1490/m,Single-Family,N/A,2,1362, 105%,https://www.foreclosure.com/address/Alton-Rd-Winter-Springs-FL-32708/60714476_lid
"Sun Harbour Rd 235, Panama City, FL 32401",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Sun-Harbour-Rd-235-Panama-City-FL-32401/60715652_lid
"Se 60th St, Ocala, FL 34480","$228,143",Estimated Market Value,$980/m,Single-Family,3,2,1220, 91%,https://www.foreclosure.com/address/Se-60th-St-Ocala-FL-34480/60715653_lid
"Sw 1st St, Ocala, FL 34475","$89,109",Estimated Market Value,$840/m,Single-Family,3,1,952, 142%,https://www.foreclosure.com/address/Sw-1st-St-Ocala-FL-34475/60715655_lid
"Nw 87th Avenue Rd, Reddick, FL 32686",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Nw-87th-Avenue-Rd-Reddick-FL-32686/60715654_lid
"Nw 165th Court Rd, Dunnellon, FL 34432","$133,280",Estimated Market Value,$940/m,Single-Family,3,2,1438, 99%,https://www.foreclosure.com/address/Nw-165th-Court-Rd-Dunnellon-FL-34432/60715656_lid
"Sea Breeze Ct, Orlando, FL 32805",N/A,N/A,N/A,Single-Family,4,2,1728,N/A,https://www.foreclosure.com/address/Sea-Breeze-Ct-Orlando-FL-32805/60714448_lid
"Cherbourg Ave S, Jacksonville, FL 32205","$222,156",Estimated Market Value,$1001/m,Single-Family,3,2,1332, 117%,https://www.foreclosure.com/address/Cherbourg-Ave-S-Jacksonville-FL-32205/60711231_lid
"Fairview St, Jacksonville, FL 32206","$164,634",Estimated Market Value,$1092/m,Single-Family,3,2,984, 226%,https://www.foreclosure.com/address/Fairview-St-Jacksonville-FL-32206/60711253_lid
"Nw 21st St, Coconut Creek, FL 33066","$556,683",Estimated Market Value,$2340/m,Single-Family,3,2,2223, 103%,https://www.foreclosure.com/address/Nw-21st-St-Coconut-Creek-FL-33066/60711256_lid
"N Florence Ave, Lakeland, FL 33805","$212,953",Estimated Market Value,$1100/m,Single-Family,3,2,1290, 94%,https://www.foreclosure.com/address/N-Florence-Ave-Lakeland-FL-33805/60711262_lid
"Sw Yalaha St, Indiantown, FL 34956","$259,968",Estimated Market Value,$1388/m,Single-Family,2,2,1282, 117%,https://www.foreclosure.com/address/Sw-Yalaha-St-Indiantown-FL-34956/60711274_lid
"Sw 5th Ct, Fort Lauderdale, FL 33312",N/A,N/A,N/A,Townhome,3,2,1455,N/A,https://www.foreclosure.com/address/Sw-5th-Ct-Fort-Lauderdale-FL-33312/60711287_lid
"Greater Groves Blvd, Clermont, FL 34714","$392,490",Estimated Market Value,$1408/m,Single-Family,3,2,1721, 104%,https://www.foreclosure.com/address/Greater-Groves-Blvd-Clermont-FL-34714/60711342_lid
"W Mcnab Rd # 111, Tamarac, FL 33321","$206,388",Estimated Market Value,$1398/m,Condo,2,2,820, 120%,https://www.foreclosure.com/address/W-Mcnab-Rd--111-Tamarac-FL-33321/60711349_lid
"Woodlawn Dr, Palm Coast, FL 32164","$405,426",Estimated Market Value,$1550/m,Single-Family,N/A,2,2132, 102%,https://www.foreclosure.com/address/Woodlawn-Dr-Palm-Coast-FL-32164/60711366_lid
"Linda Dr Apt, Jacksonville, FL 32208",N/A,N/A,N/A,Commercial,2,1,10056,N/A,https://www.foreclosure.com/address/Linda-Dr-Apt-Jacksonville-FL-32208/60711375_lid
"W Watrous Ave, Tampa, FL 33629","$3,238,739",Estimated Market Value,$4250/m,Single-Family,5,5,4041, 116%,https://www.foreclosure.com/address/W-Watrous-Ave-Tampa-FL-33629/60711457_lid
"Twin Hills Way, Jacksonville, FL 32210",N/A,N/A,N/A,Single-Family,4,2,1543,N/A,https://www.foreclosure.com/address/Twin-Hills-Way-Jacksonville-FL-32210/60711460_lid
"Haines Dr, Winter Haven, FL 33881",N/A,N/A,N/A,Single-Family,4,2,1708,N/A,https://www.foreclosure.com/address/Haines-Dr-Winter-Haven-FL-33881/60711465_lid
"Cedar Hammock Way, Jacksonville, FL 32226",N/A,N/A,N/A,Single-Family,4,2,1988,N/A,https://www.foreclosure.com/address/Cedar-Hammock-Way-Jacksonville-FL-32226/60711476_lid
"Whitehall Dr Apt 206, Davie, FL 33324","$290,275",Estimated Market Value,$1520/m,Condo,2,2,1385, 115%,https://www.foreclosure.com/address/Whitehall-Dr-Apt-206-Davie-FL-33324/60711480_lid
"Romaine Cir E, Jacksonville, FL 32225","$288,866",Estimated Market Value,$1311/m,Townhome,3,2,1891, 109%,https://www.foreclosure.com/address/Romaine-Cir-E-Jacksonville-FL-32225/60711492_lid
"Wycoff Ave, Jacksonville, FL 32205","$192,849",Estimated Market Value,$800/m,Single-Family,2,1,825, 118%,https://www.foreclosure.com/address/Wycoff-Ave-Jacksonville-FL-32205/60711502_lid
"Armoyan Way, New Smyrna Beach, FL 32168",N/A,N/A,N/A,Single-Family,3,2,1508,N/A,https://www.foreclosure.com/address/Armoyan-Way-New-Smyrna-Beach-FL-32168/60711506_lid
"Sloewood Dr, Leesburg, FL 34748",N/A,N/A,N/A,Single-Family,4,2,2337,N/A,https://www.foreclosure.com/address/Sloewood-Dr-Leesburg-FL-34748/60711509_lid
"Blue Shores Way, New Smyrna Beach, FL 32168",N/A,N/A,N/A,Single-Family,4,2,1806,N/A,https://www.foreclosure.com/address/Blue-Shores-Way-New-Smyrna-Beach-FL-32168/60711514_lid
"Nw 4th St # 1, Pompano Beach, FL 33069",N/A,N/A,N/A,Multi-Family,N/A,N/A,1723,N/A,https://www.foreclosure.com/address/Nw-4th-St--1-Pompano-Beach-FL-33069/60711524_lid
"Andover Way Apt 105, Naples, FL 34112",N/A,N/A,N/A,Condo,N/A,N/A,1137,N/A,https://www.foreclosure.com/address/Andover-Way-Apt-105-Naples-FL-34112/60711541_lid
"Ontario St Nw, Palm Bay, FL 32907","$288,963",Estimated Market Value,$1261/m,Single-Family,3,2,1780, 108%,https://www.foreclosure.com/address/Ontario-St-Nw-Palm-Bay-FL-32907/60711551_lid
"Merseyside Ave, Jacksonville, FL 32219","$294,719",Estimated Market Value,$1261/m,Single-Family,4,2,1856, 97%,https://www.foreclosure.com/address/Merseyside-Ave-Jacksonville-FL-32219/60711578_lid
"Silver Bluff Blvd Apt ..., Orange Park, FL 32065","$238,139",Estimated Market Value,$1141/m,Condo,2,2,1973, 101%,https://www.foreclosure.com/address/Silver-Bluff-Blvd-Apt-2606-Orange-Park-FL-32065/60711582_lid
"Tyson Lake Dr, Jacksonville, FL 32221",N/A,N/A,N/A,Single-Family,4,2,1856,N/A,https://www.foreclosure.com/address/Tyson-Lake-Dr-Jacksonville-FL-32221/60711583_lid
"La Marche Dr, Cocoa, FL 32926","$231,476",Estimated Market Value,$1141/m,Single-Family,3,2,1992, 99%,https://www.foreclosure.com/address/La-Marche-Dr-Cocoa-FL-32926/60711596_lid
"Smyrna St, Jacksonville, FL 32208","$396,311",Estimated Market Value,$1610/m,Single-Family,4,3,4406, 101%,https://www.foreclosure.com/address/Smyrna-St-Jacksonville-FL-32208/60711611_lid
"Needle Palm Dr, Edgewater, FL 32141","$402,930",Estimated Market Value,$1440/m,Single-Family,3,3,1486, 105%,https://www.foreclosure.com/address/Needle-Palm-Dr-Edgewater-FL-32141/60711615_lid
"Wedgewood Cir, Youngstown, FL 32466","$156,230",Estimated Market Value,$1301/m,Land,3,2,1539, 101%,https://www.foreclosure.com/address/Wedgewood-Cir-Youngstown-FL-32466/60711619_lid
"Pine Ave, Lauderdale By The Sea, FL 33308","$776,113",Estimated Market Value,$2600/m,Single-Family,2,2,1464, 115%,https://www.foreclosure.com/address/Pine-Ave-Lauderdale-By-The-Sea-FL-33308/60711620_lid
"Dogwood Way, Naples, FL 34116","$916,359",Estimated Market Value,$1740/m,Single-Family,N/A,N/A,2345, 105%,https://www.foreclosure.com/address/Dogwood-Way-Naples-FL-34116/60711622_lid
"Lakeshore Dr, Clermont, FL 34711","$488,040",Estimated Market Value,$1610/m,Single-Family,4,3,2682, 119%,https://www.foreclosure.com/address/Lakeshore-Dr-Clermont-FL-34711/60711623_lid
"Nw 110th Dr, Parkland, FL 33076","$1,347,785",Estimated Market Value,$4760/m,Single-Family,N/A,N/A,3810, 125%,https://www.foreclosure.com/address/Nw-110th-Dr-Parkland-FL-33076/60711632_lid
"Dostie Dr S, Jacksonville, FL 32209","$197,176",Estimated Market Value,$1110/m,Single-Family,3,2,1416, 141%,https://www.foreclosure.com/address/Dostie-Dr-S-Jacksonville-FL-32209/60711643_lid
"W Coquina Dr, Daytona Beach, FL 32117","$260,352",Estimated Market Value,$1271/m,Single-Family,3,2,1380, 119%,https://www.foreclosure.com/address/W-Coquina-Dr-Daytona-Beach-FL-32117/60711661_lid
"Mindy Ashley Ln, Jacksonville, FL 32218","$335,943",Estimated Market Value,$1370/m,Single-Family,4,3,2256, 94%,https://www.foreclosure.com/address/Mindy-Ashley-Ln-Jacksonville-FL-32218/60711664_lid
"Bainmar Dr, Lehigh Acres, FL 33973","$401,302",Estimated Market Value,$1790/m,Single-Family,3,2,1991, 107%,https://www.foreclosure.com/address/Bainmar-Dr-Lehigh-Acres-FL-33973/60711668_lid
"Arbor Cir N, Orange Park, FL 32073","$305,760",Estimated Market Value,$1241/m,Single-Family,3,2,1730, 106%,https://www.foreclosure.com/address/Arbor-Cir-N-Orange-Park-FL-32073/60711670_lid
"Candlebark Dr, Jacksonville, FL 32225","$544,302",Estimated Market Value,$1970/m,Single-Family,4,2,2851, 104%,https://www.foreclosure.com/address/Candlebark-Dr-Jacksonville-FL-32225/60711686_lid
"Shadow Ct # 7-14, Coral Springs, FL 33071","$347,589",Estimated Market Value,$1700/m,Condo,3,2,1320, 111%,https://www.foreclosure.com/address/Shadow-Ct--7-14-Coral-Springs-FL-33071/60711688_lid
"Bertha St, Jacksonville, FL 32218","$282,150",Estimated Market Value,$1241/m,Single-Family,3,2,1765, 100%,https://www.foreclosure.com/address/Bertha-St-Jacksonville-FL-32218/60711698_lid
"W Sligh Ave Apt 104b, Tampa, FL 33614",N/A,N/A,N/A,Condo,2,2,1139,N/A,https://www.foreclosure.com/address/W-Sligh-Ave-Apt-104b-Tampa-FL-33614/60711720_lid
"N Woodbridge Hollow Rd, Jacksonville, FL 32218","$352,789",Estimated Market Value,$1408/m,Single-Family,3,2,1963, 100%,https://www.foreclosure.com/address/N-Woodbridge-Hollow-Rd-Jacksonville-FL-32218/60711721_lid
"Nw 21st St, Sunrise, FL 33313","$502,072",Estimated Market Value,$1800/m,Single-Family,4,2,1762, 113%,https://www.foreclosure.com/address/Nw-21st-St-Sunrise-FL-33313/60711731_lid
"Club Lake Dr, Orange Park, FL 32065","$533,904",Estimated Market Value,$1980/m,Single-Family,4,2,2824, 104%,https://www.foreclosure.com/address/Club-Lake-Dr-Orange-Park-FL-32065/60711735_lid
"Fitchwood Cir, Jacksonville, FL 32258","$626,317",Estimated Market Value,$2620/m,Single-Family,6,3,3296, 103%,https://www.foreclosure.com/address/Fitchwood-Cir-Jacksonville-FL-32258/60711734_lid
"Mayflower St, Middleburg, FL 32068","$107,185",Estimated Market Value,N/A,Mobile,3,2,1248, 100%,https://www.foreclosure.com/address/Mayflower-St-Middleburg-FL-32068/60711756_lid
"Marsh Wood Dr, Seffner, FL 33584","$357,307",Estimated Market Value,$1291/m,Single-Family,4,2,1488, 118%,https://www.foreclosure.com/address/Marsh-Wood-Dr-Seffner-FL-33584/60711759_lid
"Ne 30th Pl # 105a, Fort Lauderdale, FL 33306","$200,529",Estimated Market Value,$1430/m,Condo,2,2,853, 95%,https://www.foreclosure.com/address/Ne-30th-Pl--105a-Fort-Lauderdale-FL-33306/60711765_lid
"High Bluff Rd, Jacksonville, FL 32244","$285,021",Estimated Market Value,$1311/m,Single-Family,3,2,1632, 104%,https://www.foreclosure.com/address/High-Bluff-Rd-Jacksonville-FL-32244/60711767_lid
"Firestone Rd, Jacksonville, FL 32244",N/A,N/A,N/A,Multi-Family,2,1,2746,N/A,https://www.foreclosure.com/address/Firestone-Rd-Jacksonville-FL-32244/60711769_lid
"Wynnmere Walk Ave, Ruskin, FL 33570",N/A,N/A,N/A,Single-Family,3,2,1629,N/A,https://www.foreclosure.com/address/Wynnmere-Walk-Ave-Ruskin-FL-33570/60711770_lid
"Rio Vista Cir, Bonita Springs, FL 34135","$471,516",Estimated Market Value,$2090/m,Single-Family,3,2,1650, 98%,https://www.foreclosure.com/address/Rio-Vista-Cir-Bonita-Springs-FL-34135/60711794_lid
"Tamarind Dr, Edgewater, FL 32141","$344,717",Estimated Market Value,$1271/m,Single-Family,4,2,1630, 99%,https://www.foreclosure.com/address/Tamarind-Dr-Edgewater-FL-32141/60711801_lid
"Linda Dr, Jacksonville, FL 32208",N/A,N/A,N/A,Commercial,2,1,9882,N/A,https://www.foreclosure.com/address/Linda-Dr-Jacksonville-FL-32208/60711809_lid
"Silver Bluff Blvd Apt ..., Orange Park, FL 32065","$246,567",Estimated Market Value,$1201/m,Condo,3,2,2133, 102%,https://www.foreclosure.com/address/Silver-Bluff-Blvd-Apt-1702-Orange-Park-FL-32065/60711812_lid
"Pond Run Ln, Jacksonville, FL 32218","$444,528",Estimated Market Value,$1640/m,Single-Family,4,3,2846, 97%,https://www.foreclosure.com/address/Pond-Run-Ln-Jacksonville-FL-32218/60711815_lid
"Treadway Dr, Deltona, FL 32738","$304,425",Estimated Market Value,$1540/m,Single-Family,3,2,1442, 99%,https://www.foreclosure.com/address/Treadway-Dr-Deltona-FL-32738/60711836_lid
"Erin Brooke Dr, Valrico, FL 33594","$352,995",Estimated Market Value,$1730/m,Single-Family,4,2,1808, 121%,https://www.foreclosure.com/address/Erin-Brooke-Dr-Valrico-FL-33594/60711839_lid
"Reflections Loop E, Winter Haven, FL 33884","$287,826",Estimated Market Value,$1171/m,Single-Family,3,2,1482, 101%,https://www.foreclosure.com/address/Reflections-Loop-E-Winter-Haven-FL-33884/60711867_lid
"Crown Ln, Port Orange, FL 32127","$420,980",Estimated Market Value,$1640/m,Single-Family,3,2,1998, 103%,https://www.foreclosure.com/address/Crown-Ln-Port-Orange-FL-32127/60711877_lid
"Douglas Rd, Panama City, FL 32405","$126,055",Estimated Market Value,N/A,Mobile,3,2,1128, 92%,https://www.foreclosure.com/address/Douglas-Rd-Panama-City-FL-32405/60711892_lid
"Hammock Grove Ln, Jacksonville, FL 32225","$575,598",Estimated Market Value,$1980/m,Single-Family,6,4,3471, 101%,https://www.foreclosure.com/address/Hammock-Grove-Ln-Jacksonville-FL-32225/60711907_lid
"Leichester St, Valrico, FL 33594","$451,043",Estimated Market Value,$1870/m,Single-Family,4,2,2068, 122%,https://www.foreclosure.com/address/Leichester-St-Valrico-FL-33594/60711928_lid
"Silver Bluff Blvd Apt ..., Orange Park, FL 32065","$259,895",Estimated Market Value,$1220/m,Condo,3,2,2217, 102%,https://www.foreclosure.com/address/Silver-Bluff-Blvd-Apt-2901-Orange-Park-FL-32065/60711943_lid
"11th St Sw, Naples, FL 34117","$455,904",Estimated Market Value,$1580/m,Single-Family,N/A,N/A,1245, 104%,https://www.foreclosure.com/address/11th-St-Sw-Naples-FL-34117/60711953_lid
"Sw 18th St, Miramar, FL 33025","$465,107",Estimated Market Value,$1780/m,Townhome,2,2,1255, 122%,https://www.foreclosure.com/address/Sw-18th-St-Miramar-FL-33025/60711954_lid
"April Oaks Dr, Jacksonville, FL 32221",N/A,N/A,N/A,Single-Family,5,3,2556,N/A,https://www.foreclosure.com/address/April-Oaks-Dr-Jacksonville-FL-32221/60711961_lid
"Sotterley Ln, Jacksonville, FL 32220",N/A,N/A,N/A,Single-Family,5,3,2556,N/A,https://www.foreclosure.com/address/Sotterley-Ln-Jacksonville-FL-32220/60711986_lid
